,timestamp,open,high,low,close,volume,rsi,sma,ema_12,ema_26,macd,macd_signal
19,1746063600000.0,94642.3,94642.3,94517.0,94517.2,29.6767,38.00101031969402,94600.90011160714,94598.28420202644,94608.18887181798,-9.904669791547349,-8.376059489172953
20,1746063600000.0,94517.2,94544.5,94435.1,94439.1,66.7097,33.20930349890264,94589.46428571429,94573.79456517621,94595.66388594257,-21.869320766360033,-11.074711744610369
21,1746063700000.0,94439.1,94494.3,94439.1,94494.3,69.8147,39.99041973534519,94580.51395089286,94561.56415130295,94588.15521846534,-26.591067162386025,-14.1779828281655
22,1746063700000.0,94494.3,94526.2,94488.3,94525.6,59.9605,45.48561282319461,94574.52120535714,94556.03144533327,94583.52161431976,-27.49016898649279,-16.840420059830958
23,1746063700000.0,94525.6,94534.6,94488.8,94534.0,35.2514,48.78283801602596,94570.82142857143,94552.64199220507,94579.85334659237,-27.211354387298343,-18.914606925324435
24,1746063900000.0,94534.0,94663.5,94534.0,94658.9,35.0328,56.08127942247687,94576.45703125,94568.98913763506,94585.70853851145,-16.719400876390864,-18.475565715537723
25,1746063900000.0,94658.9,94658.9,94604.3,94604.3,104.5188,52.977364226439896,94580.12109375,94574.42109722966,94587.08545232541,-12.664355095752398,-17.31332359158066
26,1746064000000.0,94604.3,94604.3,94543.7,94549.6,129.215,46.80064098041784,94576.27845982143,94570.60270727125,94584.3088678939,-13.706160622648895,-16.591890997794305
27,1746064000000.0,94549.6,94559.0,94544.5,94558.9,38.0592,46.02768859532525,94571.10714285714,94568.80205038337,94582.42661379064,-13.624563407269306,-15.998425479689306
28,1746064100000.0,94558.9,94591.3,94555.3,94577.1,10.4861,47.90214389056951,94567.31417410714,94570.0788984013,94582.03216554689,-11.953267145581776,-15.1893938128678
29,1746064100000.0,94577.1,94577.1,94547.2,94547.2,10.2102,47.520876826722336,94561.75,94566.55954864726,94579.4522366175,-12.892687970233965,-14.730052644341034
30,1746064200000.0,94547.2,94588.6,94544.5,94586.9,15.0182,50.42463763934174,94559.52845982143,94569.68860847075,94580.00380705323,-10.315198582480662,-13.84708183196896
31,1746064200000.0,94586.9,94588.6,94544.5,94544.5,11.4064,49.486511487417644,94555.70703125,94565.81343793678,94577.37389541966,-11.56045748287579,-13.389756962150328
32,1746064400000.0,94544.5,94549.9,94544.5,94549.8,17.4136,46.57528776367938,94549.09988839286,94563.34935133113,94575.33115316635,-11.98180183522345,-13.108165936764953
33,1746064400000.0,94549.8,94599.9,94549.8,94597.8,12.5384,47.91321952074128,94554.85658482143,94568.64897035711,94576.99528070958,-8.346310352470027,-12.155794819905969
34,1746064400000.0,94597.8,94597.8,94575.1,94597.8,8.6619,47.97859690844233,94566.19196428571,94573.1332633791,94578.5361395459,-5.402876166801434,-10.805211089285063
35,1746064500000.0,94597.8,94642.9,94597.8,94629.5,24.2582,50.265548501514054,94575.84933035714,94581.80506901309,94582.31124032028,-0.5061713071918348,-8.745403132866418
36,1746064500000.0,94629.5,94629.6,94597.4,94597.4,33.8924,48.792659811184265,94580.97767857143,94584.2040487803,94583.42881048174,0.7752382985636359,-6.841274846580408
37,1746064600000.0,94597.4,94597.4,94547.5,94547.5,10.5716,47.140683334218025,94581.94196428571,94578.55727204487,94580.76741711271,-2.2101450678455876,-5.915048890833444
38,1746064600000.0,94547.5,94569.7,94547.5,94557.7,11.6588,45.017944234839426,94574.71372767857,94575.34894173028,94579.0589510303,-3.71000930001901,-5.474040972670558
39,1746064800000.0,94557.7,94601.0,94557.7,94597.8,11.3696,55.2745679517333,94574.24944196429,94578.80246992562,94580.44694539842,-1.644475472799968,-4.70812787269644
40,1746064800000.0,94597.8,94636.4,94589.0,94619.1,15.9715,62.726469288555016,94579.21372767857,94585.00233032167,94583.3102503689,1.692079952772474,-3.428086307602657
41,1746064900000.0,94619.1,94619.8,94562.1,94579.5,32.5199,56.15991143644661,94580.68526785714,94584.15581796449,94583.02800960084,1.1278083636570955,-2.5169073733507066
42,1746064900000.0,94579.5,94621.4,94575.3,94617.0,44.4157,56.54914517952909,94583.53515625,94589.20876904688,94585.5444533341,3.6643157127691666,-1.280662756126732
43,1746065000000.0,94617.0,94626.4,94616.3,94624.3,48.4719,56.480443168565536,94589.04185267857,94594.60693919352,94588.41500308714,6.191936106377398,0.2138570163740939
44,1746065000000.0,94624.3,94636.6,94624.3,94634.5,41.993,47.903886166856836,94592.44196428571,94600.74433316375,94591.82870656217,8.91562660157797,1.954210933414869
45,1746065200000.0,94634.5,94650.0,94606.4,94649.4,18.8715,54.15844294296457,94599.93470982143,94608.2295799847,94596.09313107608,12.136448908626335,3.9906585284571623
46,1746065200000.0,94649.4,94667.0,94649.0,94651.1,37.2362,60.37202618553408,94607.17075892857,94614.82526960244,94600.16782970008,14.657439902366605,6.124014803239051
47,1746065200000.0,94651.1,94780.0,94651.1,94742.9,104.1066,66.08962973083754,94617.53515625,94634.52883389438,94610.74046731488,23.788366579494323,9.656885158490105
48,1746065300000.0,94742.9,94751.8,94725.2,94743.8,154.9171,65.03134906657274,94627.96372767857,94651.33930175679,94620.59649751378,30.74280424301105,13.874068975394295
